253, 0.43392857142857 0.48244734202608 0.0692076 0.874624;
254, 0.43511904761905 0.4864593781344 0.0692076 0.874624;
255, 0.41190476190476 0.48545636910732 0.0712136 0.874624;
256, 0.32916666666667 0.53360080240722 0.0892678 0.872618;
257, 0.27857142857143 0.59177532597793 0.121364 0.898696;
258, 0.27619047619048 0.62186559679037 0.117352 0.911735;
259, 0.27857142857143 0.62888665997994 0.109328 0.922768;
260, 0.28035714285714 0.63691073219659 0.10331 0.930792;
261, 0.28095238095238 0.63891675025075 0.102307 0.940822;
262, 0.33392857142857 0.65396188565697 0.109328 0.95988;
263, 0.45654761904762 0.64393179538616 0.118355 0.973922;
264, 0.47440476190476 0.64593781344032 0.128385 0.972919;
265, 0.47797619047619 0.64393179538616 0.106319 0.973922;
266, 0.48095238095238 0.63891675025075 0.106319 0.973922;
267, 0.47797619047619 0.62988966900702 0.102307 0.967904;
268, 0.47440476190476 0.63691073219659 0.0962889 0.965898;
269, 0.47142857142857 0.63891675025075 0.0952859 0.967904;
270, 0.45833333333333 0.64292878635908 0.0982949 0.96991;
